label,text_split,neg_or_pos
基础产品销售信息,复星联合健康保险〔2024〕疾病保险040号,1
基础产品销售信息,复星联合附加投保人豁免保险费重大疾病保险（A 款）,1
投保条款,"投保范围 符合本公司承保条件者均可作为本附加合同的被保险人。投保年龄以周岁2计
算。本附加合同被保险人须为主合同投保人",1
保障相关时间,"犹豫期 自投保人签收本附加合同或收到本附加合同电子保单之日起（二者较早之
日），有15日的犹豫期。在此期间，请投保人认真审阅本附加合同，如果投
保人认为本附加合同与投保人的需求不相符并在犹豫期内未发生理赔，可以
在此期间提出解除本附加合同，本公司将向投保人无息退还保险费。
犹豫期内解除本附加合同时，",1
保障相关时间,"投保人须填写解除合同申请书，并提供保险合
同和有效身份证件3，自本公司收到投保人的解除合同申请书起，本附加合同
即被解除，对于合同解除前发生的保险事故，本公司不承担保险责任。",1
保障责任,"2.1 保险期间 本附加合同的保险期间与主合同一致，自本附加合同生效之日零时起至约定
的终止日的二十四时止。
2.2 保险责任 在本附加合同保险期间内，本公司承担重大疾病豁免保险费责任、中度疾病
豁免保险费责任、轻度疾病豁免保险费责任、身故或全残豁免保险费责任以
及疾病终末期豁免保险费责任。",1
术语解释,"1约定交纳日：指本附加合同生效日在每月、每季或每半年（根据交费方式确定）的对应日。当月无对应的同一日，则以该月
最后一日为对应日。
2周岁：指按法定有效身份证明文件中记载的出生日期计算的年龄，自出生之日起为零周岁，每经过一年增加一岁，不足一年
的不计。
3有效身份证件：指由政府主管部门规定的证明个人",1
术语解释,身份的证件，如：居民身份证、按规定可使用的有效护照、户口簿等证件。,1
保障相关时间,"等待期 本附加合同生效日或本附加合同效力中止后的最后复效日（以较迟者为准）
起180日为等待期。等待期是指本附加合同生效后本公司不承担保险责任的
一段时间。",1
退保条款,"等待期内被保险人因非意外4的原因在确诊本附加合同所列的重大疾病5
（一种或多种，下同）、中度疾病6或轻度疾病7，本公司不承担保险责任，但
无息退还本附加合同已交保险费，本附加合同终止；
（2）等待期内被保险人因非意外的原因导致身故或确定全残8的，本公司不
承担保险责任，但无息退还本附加合同已交保险费",1
退保条款,"，本附加合同终止。
被保险人在保险期间内，因意外的原因导致发生本附加合同约定的保险事故
的，无等待期。",1
